id,firstName,slug,shortName,team,position,jerseyNumber
1562112,Mateusz Zdziarski,mateusz-zdziarski,M. Zdziarski,Lech Poznan U19,F,18
1562093,Igor Stankiewicz,igor-stankiewicz,I. Stankiewicz,Lech Poznan U19,M,
1562092,Igor Draszczyk,igor-draszczyk,I. Draszczyk,Lech Poznan U19,M,
1562118,Sammy Dudek,sammy-dudek,S. Dudek,Lech Poznan U19,M,
1562088,Artur Lawrynowicz,artur-lawrynowicz,A. Lawrynowicz,Lech Poznan U19,M,
1562090,Daniel Chejdysz,daniel-chejdysz,D. Chejdysz,Lech Poznan U19,M,
1562091,Filip Warciarek,filip-warciarek,F. Warciarek,Lech Poznan U19,M,
1562106,Kajetan Nowak,kajetan-nowak,K. Nowak,Lech Poznan U19,M,
1562115,Nikodem Stachowicz,nikodem-stachowicz,N. Stachowicz,Lech Poznan U19,M,
1562095,Jakub Przebierala,jakub-przebierala,J. Przebierala,Lech Poznan U19,M,
1562089,Damian Sokolowski,damian-sokolowski,D. Sokolowski,Lech Poznan U19,D,
1562096,Jakub Skowronski,jakub-skowronski,J. Skowronski,Lech Poznan U19,D,
1562103,Kacper Wolowiec,kacper-wolowiec,K. Wolowiec,Lech Poznan U19,D,
1562114,Matsvei Bakhno,matsvei-bakhno,M. Bakhno,Lech Poznan U19,D,
1562120,Wojciech Monka,wojciech-monka,W. Monka,Lech Poznan U19,D,
1562094,Jakub Falkiewicz,jakub-falkiewicz,J. Falkiewicz,Lech Poznan U19,D,
1562070,Konrad Kaczmarek,konrad-kaczmarek,K. Kaczmarek,Lech Poznan U19,G,
1562087,Alan Dyguda,alan-dyguda,A. Dyguda,Lech Poznan U19,G,
1519202,,mateusz-uzarek,M. Uzarek,Pomezania Malbork,G,
1548943,Kamil Jakobczyk,kamil-jakobczyk,K. Jakobczyk,Lech Poznan U19,,
