slug,id,sofascore_id
mickey-van-der-hart,207048,242313
marko-malenica,179894,149673
krzysztof-bakowski,554278,974612
lubomir-satka,168408,187231
bartosz-salamon,71019,75994
antonio-milic,179896,110942
djordje-crnomarkovic,307325,
thomas-pauck-rogne,62086,
tomasz-dejewski,291343,353960
patryk-walis,799321,1410233
vasyl-kravets,245048,791172
jakub-niewiadomski,554970,1017546
krystian-palacz,698957,1101200
robert-gumny,353826,834986
alan-czerwinski,240756,260085
bogdan-butko,94922,69364
jesper-karlstrom,222855,227894
nika-kvekveskiri,150850,79632
karlo-muhar,388042,897590
antoni-kozubal,555057,1101198
jakub-moder,384461,886242
pedro-tiba,167165,138700
tymoteusz-klups,358873,915510
filip-borowski,672287,
tymoteusz-puchacz,361575,867493
volodymyr-kostevych,208469,
filip-wilak,625634,1021821
filip-marchwinski,555106,966929
jakub-kaminski,407098,801263
kamil-jozwiak,289167,814820
michal-skoras,393565,942479
jan-sykora,187490,111735
dani-ramirez,246309,899034
mohammad-awwad,460679,
mikael-ishak,153637,114062
aron-johannsson,119169,
nika-kacharava,251028,286927
filip-szymczak,554972,1012192
hubert-sobol,433601,940421
norbert-paclawski,661404,1100166
cezary-miszta,487167,
wojciech-muzyk,385022,891733
artur-boruc,15220,8994
radoslaw-cierzniak,24501,54523
kacper-tobiasz,658111,1083777
artem-shabanov,236468,114171
mateusz-wieteska,208172,286087
william-remy,89637,105700
artur-jedrzejczyk,42401,54429
mateusz-holownia,266379,798373
igor-lewczuk,63265,44936
ariel-mosor,554288,1009281
inaki-astiz,52161,22142
michal-karbownik,401604,910043
filip-mladenovic,168063,126680
luis-rocha,235639,97010
josip-juranovic,362977,791642
marko-vesovic,98101,58170
pawel-stolarski,235862,256477
nikodem-niski,555110,1036276
bartosz-slisz,382429,844500
jakub-kisiel,672232,1100173
valeriane-gvilia,335191,586976
bartosz-kapustka,246579,309648
andre-martins,90367,128509
domagoj-antolic,48810,67645
pawel-wszolek,164759,139152
kacper-skibicki,607860,
luquinhas,402825,845787
ernest-muci,583917,924670
joel-valencia,175451,155804
radoslaw-cielemecki,554280,1009287
mateusz-cholewiak,255519,170287
jasur-yakhshiboev,493692,888192
rafa-lopes,162819,133736
tomas-pekhart,38746,41999
jose-kante,247276,259359
maciej-rosolek,401609,987320
nazariy-rusyn,366729,
kacper-kostorz,510459,882645
szymon-wlodarczyk,554282,1009285
dominik-holec,181611,134908
jakub-szumski,157848,153038
branislav-pindroch,176966,
kacper-trelowski,720120,1036147
kamil-piatkowski,345449,942335
tomas-petrasek,333261,
jaroslaw-jach,327755,559976
zoran-arsenic,280312,337301
maciej-wilusz,42109,40861
andrzej-niewulis,101070,71860
daniel-mikolajewski,448567,845004
oskar-krzyzak,554976,1095648
petar-mamic,226082,283831
marko-poletanovic,168957,111754
igor-sapala,380597,
giannis-papanikolaou,448058,856988
ben-lederman,366929,1030308
petr-schwarz,208591,174041
iwo-kaczmarski,555056,1000701
fran-tudor,343158,792659
daniel-szelagowski,566350,984512
wiktor-dlugosz,453156,926184
piotr-malinowski,47280,
patryk-kun,252608,281307
daniel-bartl,109541,68751
piotr-owczarek,676250,
david-tijanic,351792,827369
ivi-lopez,282371,547280
marcin-cebula,239215,256105
milosz-szczepanski,321240,851244
mateusz-wdowiak,295495,335825
przemyslaw-oziebala,52435,60326
michal-litwa,714021,1098025
felicio-brown-forbes,67064,120988
vladislavs-gutkovskis,192710,157429
sebastian-musiolik,267152,338365
jakub-arak,241826,797621
oskar-zawada,232015,318745
jakub-bator,474243,
dante-stipica,86635,116531
jakub-bursztyn,384359,886748
dariusz-krzysztofek,534948,1131632
marcel-mendes,717910,1146016
konstantinos-triantafyllopoulos,185691,235502
benedikt-zech,83616,66285
jakub-bartkowski,130444,163925
mariusz-malec,331871,834108
igor-lasicki,225874,189123
bartlomiej-mruk,631866,1005924
filip-balcewicz,554283,1127757
luis-mata,258002,318947
david-stec,181715,548600
damian-dabrowski,143118,108979
rafal-kurzawa,191895,338363
maciej-zurawski,454388,941226
kacper-smolinski,597231,992632
tomas-podstawski,182718,138888
stanislaw-wawrzynowicz,409048,941967
mateusz-legowski,570466,1064080
kacper-kozlowski,554284,
hubert-matynia,330686,576334
sebastian-kowalczyk,289168,864926
alexander-gorgon,45425,
luka-zahovic,169362,232162
blazej-starzycki,345441,971478
adrian-benedyczak,454386,928295
santeri-hostikka,418762,831357
mariusz-fornalczyk,697468,1049444
pawel-cibicki,223849,307460
michal-kucharczyk,116905,95436
marcel-wedrychowski,554975,992633
kamil-drygas,146067,121410
adam-fraczczak,53721,60872
hubert-turski,569593,1030327
xavier-dziekonski,699400,
damian-weglarz,281791,561132
pavels-steinbors,42891,24980
hubert-gostomski,364049,843318
jakub-jasionek,830417,1089083
ivan-runje,109012,
bogdan-tiru,186744,135151
blazej-augustyn,42029,20642
bartosz-kwiecien,255721,307784
myroslav-mazur,396525,881276
milosz-matysik,751104,1095659
jan-majsterek,597614,1067768
bojan-nastic,168943,126145
bartlomiej-wdowik,589013,936874
bodvar-bodvarsson,273173,329723
godfrey-bitok-stephen,663239,988050
pawel-olszewski,342659,840334
andrej-kadlec,260842,293125
szymon-pankiewicz,500246,1089084
taras-romanczuk,280939,578364
martin-pospisil,180538,148659
ariel-borysiuk,53719,44984
jakub-orpik,658153,
oliwier-wojciechowski,618392,1130952
fernan-lopez,287194,897712
konrad-wrzesinski,258534,313036
kris-twardek,293372,838916
jesus-imaz,176423,175177
juan-camara,162039,138395
przemyslaw-mystkowski,287319,559970
dani-quintana,65347,175839
kamil-wojtkowski,293063,757884
mateusz-wyjadlowski,453141,1022397
krzysztof-toporkiewicz,628556,1008853
fedor-cernych,140540,93755
tomas-prikryl,152693,100409
maciej-makuszewski,153033,122692
maciej-bortniczuk,587156,1048685
jakov-puljic,217751,94238
bartosz-bida,475802,916044
szymon-sobczak,164489,845027
jakub-lutostanski,819692,1101183
maciej-twarowski,577588,997654
karol-niemczycki,521634,888440
lukas-hrosso,74941,53997
michal-peskovic,57581,45381
adam-wilk,356755,796953
norbert-luczak,821352,
michal-helik,255383,351726
dawid-szymonowicz,242846,316334
matej-rodin,316445,834079
ivan-marquez,296227,862479
david-jablonsky,113575,
oleksiy-dytyatyev,242279,
krystian-bracik,599934,1121428
mateusz-pienczak,650292,1036279
jan-ziewiec,828756,1095440
jakub-goralczyk,697549,1083778
lukasz-ziemnik,697551,1141997
michal-siplak,239957,561722
diego-ferraresso,120104,52005
milan-dimun,291232,552342
sylwester-lusiusz,426297,888950
radoslaw-kanach,396690,949380
mateusz-supryn,453410,962456
florian-loshaj,242040,831407
damir-sadikovic,255972,312098
michal-wisniewski,528325,935288
sergiu-hanca,212806,113743
cornel-rapa,96290,50990
kamil-pestka,384482,883172
patryk-zaucha,393568,999875
michael-gardawski,52791,38461
pelle-van-amersfoort,262613,318585
ivan-fiolic,226070,283855
thiago,687844,
michal-rakoczy,529548,926186
marcin-budzinski,82173,44777
przemyslaw-kapek,697556,1065636
maciej-mrozik,869950,
jakub-myszor,697554,1113778
daniel-pik,528410,923081
jakub-kosecki,100453,72094
rivaldinho,313968,811017
marcos-alvarez,47944,178883
filip-piszczek,325215,792651
tomas-vestenicky,186393,325143
sebastian-strozik,384438,914546
tomasz-bala,579770,1036278
jakub-gut,727114,1063238
martin-chudy,80732,58099
dawid-kudla,266239,336091
jakub-grzesiak,699645,1064676
bartosz-neugebauer,585073,956803
pawel-bochniewicz,248395,286097
przemyslaw-wisniewski,386967,931266
adrian-gryszkiewicz,388944,925948
aleksander-paluszek,605746,989139
stefanos-evangelou,342255,800972
erik-janza,174522,124590
michal-koj,185679,95361
giannis-masouras,295780,369940
roman-prochazka,80690,53974
norbert-wojtuszek,607435,
wojciech-hajda,372695,891291
alasana-manneh,435807,873084
daniel-scislak,479708,987357
filip-bainovic,358909,799159
