id,slug,team,height,preferredFoot,marketValue
242313,mickey-van-der-hart,sc-heerenveen,188,Left,480000
149673,marko-malenica,nk-osijek,192,Right,630000
974612,krzysztof-bakowski,polonia-warszawa,190,Both,260000
187231,lubomir-satka,,,,
75994,bartosz-salamon,lech-poznan,193,Right,375000
110942,antonio-milic,lech-poznan,190,Left,1100000
,djordje-crnomarkovic,,,,
,thomas-pauck-rogne,,,,
353960,tomasz-dejewski,radunia-stezyca,191,Right,260000
1410233,patryk-walis,kks-1925-kalisz,193,Left,24000
791172,vasyl-kravets,polissya-zhytomyr,185,Left,1300000
1017546,jakub-niewiadomski,no-team,183,Left,48000
1101200,krystian-palacz,,,,
834986,robert-gumny,fc-augsburg,182,Right,3300000
260085,alan-czerwinski,lech-poznan,181,Right,470000
69364,bogdan-butko,zorya-luhansk,180,Right,290000
227894,jesper-karlstrom,lech-poznan,179,Right,2600000
79632,nika-kvekveskiri,lech-poznan,183,Right,620000
897590,karlo-muhar,cfr-1907-cluj,188,Right,1500000
1101198,antoni-kozubal,,,,
886242,jakub-moder,brighton-and-hove-albion,191,Right,10900000
138700,pedro-tiba,gil-vicente,174,Right,135000
915510,tymoteusz-klups,no-team,180,Right,79000
,filip-borowski,,,,
867493,tymoteusz-puchacz,1-fc-kaiserslautern,180,Left,1500000
,volodymyr-kostevych,,,,
1021821,filip-wilak,,,,
966929,filip-marchwinski,lech-poznan,185,Both,4600000
801263,jakub-kaminski,vfl-wolfsburg,178,Right,9100000
814820,kamil-jozwiak,granada,176,Right,2600000
942479,michal-skoras,club-brugge-kv,172,Right,4700000
111735,jan-sykora,viktoria-plzen,170,Both,775000
899034,dani-ramirez,lks-lodz,175,Left,330000
,mohammad-awwad,,,,
114062,mikael-ishak,lech-poznan,183,Both,1500000
,aron-johannsson,,,,
286927,nika-kacharava,fk-panevezys,198,Right,260000
1012192,filip-szymczak,,,,
940421,hubert-sobol,kks-1925-kalisz,181,Right,52000
1100166,norbert-paclawski,lech-poznan,187,Right,110000
,cezary-miszta,,,,
891733,wojciech-muzyk,stal-stalowa-wola,191,Right,52000
8994,artur-boruc,no-team,193,Right,
54523,radoslaw-cierzniak,no-team,187,Right,
1083777,kacper-tobiasz,legia-warszawa,191,Left,2700000
114171,artem-shabanov,polissya-zhytomyr,189,Left,290000
286087,mateusz-wieteska,cagliari,187,Right,3800000
105700,william-remy,zaglebie-sosnowiec,184,Right,155000
54429,artur-jedrzejczyk,legia-warszawa,189,Right,135000
798373,mateusz-holownia,bandirmaspor,184,Left,48000
44936,igor-lewczuk,kts-weszlo-warszawa,187,Both,220000
