id,value,date,club,age
455062,25 tys. EUR,9 mar 2020,FC Helsingor,19
455062,-,9 cze 2020,FC Helsingor,19
514918,50 tys. EUR,21 gru 2018,FC Kopenhagen U19,16
514918,100 tys. EUR,9 mar 2020,FC Kopenhagen U19,17
514918,150 tys. EUR,31 lip 2020,FC Kopenhagen U19,18
514918,100 tys. EUR,23 gru 2020,FC Kopenhagen U19,18
514918,300 tys. EUR,4 cze 2021,BK Fremad Amager,19
514918,300 tys. EUR,28 gru 2021,BK Fremad Amager,19
514918,300 tys. EUR,20 cze 2022,BK Fremad Amager,20
514918,250 tys. EUR,22 gru 2022,BK Fremad Amager,20
514918,200 tys. EUR,26 cze 2023,BK Fremad Amager,21
514918,-,19 paz 2023,BK Fremad Amager,21
400543,50 tys. EUR,19 wrz 2023,Hillerod Fodbold,23
541592,25 tys. EUR,9 mar 2020,Hellerup IK,19
541592,-,9 cze 2020,Hellerup IK,20
564529,25 tys. EUR,9 mar 2020,FC Kopenhagen U19,17
564529,100 tys. EUR,31 lip 2020,FC Kopenhagen U19,17
564529,100 tys. EUR,23 gru 2020,FC Kopenhagen U19,18
"564529,""1,00 mln EUR"",4 cze 2021,FC Kopenhagen U19,18"
"564529,""3,00 mln EUR"",6 paz 2021,FC Kopenhaga,18"
"564529,""4,00 mln EUR"",28 gru 2021,FC Kopenhaga,19"
"564529,""4,00 mln EUR"",20 cze 2022,FC Kopenhaga,19"
"564529,""4,00 mln EUR"",22 gru 2022,FC Kopenhaga,20"
"564529,""12,00 mln EUR"",16 mar 2023,Leicester City,20"
"564529,""12,00 mln EUR"",20 cze 2023,Leicester City,20"
391005,150 tys. EUR,21 cze 2017,FC Kopenhagen U19,17
391005,150 tys. EUR,18 gru 2017,FC Kopenhaga,18
391005,200 tys. EUR,2 cze 2018,FC Kopenhaga,18
391005,300 tys. EUR,21 gru 2018,FC Kopenhaga,19
391005,250 tys. EUR,8 cze 2019,Vendsyssel FF,19
391005,500 tys. EUR,27 lut 2020,FC Brentford,20
391005,450 tys. EUR,8 kwi 2020,FC Brentford,20
391005,450 tys. EUR,15 paz 2020,FC Brentford,21
391005,500 tys. EUR,10 mar 2021,FC Brentford,21
"391005,""1,50 mln EUR"",30 cze 2021,FC Brentford,22"
"391005,""1,50 mln EUR"",23 gru 2021,FC Brentford,22"
"391005,""2,50 mln EUR"",15 cze 2022,FC Brentford,22"
"391005,""2,20 mln EUR"",3 lis 2022,FC Brentford,23"
"391005,""6,00 mln EUR"",20 cze 2023,FC Brentford,23"
422932,50 tys. EUR,6 wrz 2017,FC Kopenhagen U19,18
422932,50 tys. EUR,21 gru 2018,FC Kopenhagen U19,19
422932,100 tys. EUR,25 paz 2020,Trelleborgs FF,21
422932,300 tys. EUR,3 sty 2022,Tromso IL,22
422932,400 tys. EUR,9 gru 2022,Tromso IL,23
422932,600 tys. EUR,29 cze 2023,Tromso IL,24
422932,800 tys. EUR,7 wrz 2023,Tromso IL,24
610439,50 tys. EUR,26 cze 2023,Naestved Boldklub,20
541628,100 tys. EUR,9 wrz 2019,HB Koge,18
541628,100 tys. EUR,22 gru 2019,HB Koge,19
541628,100 tys. EUR,31 lip 2020,HB Koge,19
541628,150 tys. EUR,23 gru 2020,HB Koge,20
541628,200 tys. EUR,4 cze 2021,HB Koge,20
541628,250 tys. EUR,28 gru 2021,Silkeborg IF,21
541628,300 tys. EUR,20 cze 2022,Silkeborg IF,21
541628,350 tys. EUR,13 wrz 2022,Silkeborg IF,21
541628,400 tys. EUR,22 gru 2022,Silkeborg IF,22
541628,800 tys. EUR,26 cze 2023,Silkeborg IF,22
503864,25 tys. EUR,9 mar 2020,FC Kopenhagen U19,18
503864,50 tys. EUR,23 gru 2020,Skive IK,19
503864,100 tys. EUR,4 cze 2021,Skive IK,19
503864,250 tys. EUR,13 wrz 2022,Naestved Boldklub,20
503864,250 tys. EUR,22 gru 2022,Naestved Boldklub,21
503864,300 tys. EUR,26 cze 2023,Naestved Boldklub,21
610441,50 tys. EUR,28 gru 2021,FC Kopenhagen U19,18
610441,100 tys. EUR,13 wrz 2022,Vendsyssel FF,19
610441,100 tys. EUR,22 gru 2022,Vendsyssel FF,19
