club,elo_ranking_club,elo
Lech Poznan,,1561.436577594772
SC Heerenveen,,1698.086169364277
De Graafschap Doetinchem,,1604.2168813442518
FC Utrecht,,1537.9499790106302
FC Twente Enschede,,2167.81
FC Twente Enschede U21,,1604.9409395931164
FC Emmen,,1668.9541228452424
PEC Zwolle,,1690.5669005418545
Go Ahead Eagles Deventer,,1530.809679643879
Ajax Amsterdam,,2102.5
Ajax Amsterdam U19,,1524.3326529389456
Diosgyori VTK,,1530.8889421792921
Radomiak Radom,,1610.475945357002
Stal Rzeszow,,1608.3287092907026
Samsunspor,,1561.8119717539353
DAC Dunajska Streda,,1677.9954718781346
SPAL,,1645.3540380186846
Frosinone Calcio,,2129.9
SPAL 2013,,1691.6582686779057
Cagliari Calcio,,2114.48
Delfino Pescara 1936,,1534.1093641127345
UC Sampdoria,,1684.0807369066988
Brescia Calcio,,1658.4071813787561
AC Milan,,2269.74
US Foggia,,1534.2903654538586
RSC Anderlecht,,2119.92
Rayo Vallecano,1607.53442383,2129.68
KV Oostende,,1512.9665143418324
HNK Hajduk Split,,1519.6383230160134
FK Vojvodina Novi Sad,,1555.9765203126096
NK Olimpija Ljubljana,,1510.111693332085
Zaglebie Lubin,,1608.4685433348668
FK Radnicki Nis,,1638.5311438698827
FK Cukaricki,,1513.2299040466937
FK Javor-Matis Ivanjica,,1588.6737293699562
Helsingborgs IF,,1587.7787514728434
Apollon Smyrnis,,1681.8934479493394
IFK Goteborg,,1682.9538676163338
Wigan Athletic,,1667.1086182009349
Stabaek Fotball,,1624.2775247502584
Celtic Glasgow,,2229.59
Widzew Lodz,,1558.3577476330936
Warta Poznan,,1659.6448164828182
Odra Opole,,1598.9115249387198
SK Dnipro-1,,1674.8201285946589
Worskla Poltawa,,1591.2736410310958
Sporting Gijon,,1611.3322180874522
CD Leganes,,1665.0731274513062
CD Lugo,,1678.640863278004
Karpaty Lwow (-2021),,1544.5382637716932
Wisla Krakow,,1654.2540674255824
GKS Jastrzebie,,1637.0025587164955
Motor Lublin,,1568.2099628847402
Lech Poznan II,,1564.3316833709046
Sandecja Nowy Sacz,,1697.6232316319158
FC Augsburg,,2175.05
Podbeskidzie Bielsko-Biala,,1650.0818372251854
Lech Poznan U19,,1614.7223823493562
GKS Katowice,,1545.8164119388077
Zaria Lugansk,,1533.7370424921494
Szachtar Donieck,,1693.3503868963842
Buyuksehir Belediye Erzurumspor,,1547.6811820911698
Amkar Perm,,1651.5025065842005
Illicziwec Mariupol,,1622.1574586944657
Wolyn Luck,,1642.4571385755592
Szachtar Donieck II,,1565.1687539341883
Djurgardens IF,,2142.54
IF Brommapojkarna,,1555.392739981798
Tobyl Kostanaj,,1684.019103352127
FK Qabala,,1643.889867705916
